Title,Author Last Name,Author First Nem,Main Genre,Sub-Genre,Read (Y/N),Date Started,Date Completed,Number of Times Read,Cover Value,Price Paid,Year Purchased,Year Read,Purchase Location,Store Name
Manage Your Day to Day,99u,99u,Business,Organization,N,,,,$14.95 ,$14.95 ,2015,,Washington DC,Independent Bookstore
How to Be the MVP of a Compnay,Abrahamson,Dave,Business,Personal Development,N,,,,$9.99 ,$0.00 ,2015,,Alpharetta,In-Person
Things Fall Apart,Achebe,Chinua,Fiction,African,Y,,,,$11.00 ,$11.00 ,2009,,Kennesaw,Barnes & Noble
The Ultimate Hitchhiker's Guide to the Galaxy,Adams,Douglas,Fiction,British,N,,,,$20.00 ,$20.00 ,2017,,Atlanta,Barnes & Noble
Tuesdays With Morrie,Albom,Mitch,Fiction,Memoir,Y,16-Jan,16-Jan,1,$13.99 ,$13.99 ,2016,,Atlanta,Barnes & Noble
Heretic,Ali,Ayan Hirsi,Religion,Islam,N,,,,,,2018,,Online,Amazon
The Divine Comedy Vol1: Inferno,Alighieri,Dante,Poetry,Italian,N,,,,$16.00 ,$16.00 ,2016,,Chicago,
As a Man Thinket,Allen,James,Self-Help,Motivation,Y,15-Jan,15-Jan,1,$14.95 ,$14.95 ,2015,,Atlanta,
Maria,Alvarez,Rodrigo,Religion,Catholicism,N,,,,$15.00 ,$15.00 ,2017,,Natal,
Aparecida,Alvarez,Rodrigo,Religion,Catholicism,N,,,,,,2018,,,
Aparecida,Alvarez,Rodrigo,Religion,Catholicism,N,,,,,,2018,,,
Milagres,Alvarez,Rodrigo,Religion,Catholicism,N,,,,,,2018,,,
Presence,Cuddy,Amy,Science,Psychology,N,16-Jan,,,$28.00 ,$28.00 ,2016,,Atlanta,
The Way of a Pilgrim,Anonymous,Anonymous,Religion,Orthodoxy,Y,17-Nov,17-Dec,1,$14.00 ,$11.20 ,2017,,Amazon,
Selected Writings,Aquinas,Thomas,Religion,Catholicism,N,,,,$17.00 ,$17.00 ,2016,,Atlanta,
The Treatise on the Divine Nature,Aquinas,Thomas,Religion,Catholicism,N,,,,,,2016,,,
Mataphysics,Aristotle,Aristotle,Philosophy,Greek,N,,,,$15.00 ,$15.00 ,2016,,Atlanta,
Nichomachean Ethics,Aristotle,Aristotle,Philosophy,Greek,N,,,,$14.00 ,$12.47 ,2015,,Atlanta,
The Art of Rhetoric,Aristotle,Aristotle,Philosophy,Greek,N,,,,$17.00 ,$0.00 ,2015,,Atlanta,
Every Young Man's Battle,Arterburn,Stephen,Religion,Sex,Y,13-Jan,13-Jan,1,$13.99 ,$0.00 ,2013,,Atlanta,
Zealot,Aslan,Reza,Religion,Atheist Apologetics,N,,,,$27.00 ,$7.00 ,2015,,Atlanta,
On the Incarnation,Athanasius,Athanasius,Religion,Church History,N,,,,$10.00 ,$10.00 ,2017,,Atlanta,
The Handmaid's Tale,Atwood,Margaret,Fiction,American,Y,17-Dec,17-Dec,1,$15.00 ,$15.00 ,2016,,Atlanta,Barnes & Noble
Meditations,Aurelius,Marcus,Philosophy,Roman,N,,,,$11.00 ,$11.00 ,2016,,Atlanta,
The Interior Castle,Avila,Teresa of,Religion,Catholicism,N,,,,$15.00 ,$15.00 ,2015,,Oklahoma City,
The Way of Perfection,Avila,Teresa of,Religion,Catholicism,N,,,,,,2017,,,
To Light a Fire On the Earth,Barron,Robert,Religion,Catholicism,N,,,,$27.00 ,$27.00 ,2017,,Sacramento,
Catholicism,Barron,Robert,Religion,Catholicism,Y,17-Aug,17-Aug,1,$16.00 ,$16.00 ,2017,,Atlanta,
Vibrant Paradoxex,Barron,Robert,Religion,Catholicism,N,,,,,,2018,,,
"The European Philosophers from Descartes
 to Nietzsche",Beardsley,Monroe,Philosophy,European,N,,,,$30.00 ,$15.00 ,2017,,San Francisco,Green Apple Books
The Way of a Pilgrim,Becovcin,Helen,Religion,Orthodoxy,N,,,,$14.00 ,$11.20 ,2017,,Online,Amazon
Jesus of Nazareth,Benedict XVI,Pope,Religion,Catholicism,N,,,,,,2018,,,
Jesus of Nazareth: Holy Week from the Entrance Into Jerusalem to the Resurrection,Benedict XVI,Pope,Religion,Catholicism,N,,,,,,2018,,,
Jesus of Nazareth: The Infancy Gospels,Benedict XVI,Pope,Religion,Catholicism,N,,,,,,2018,,,
Secrets of Mental Math,Benjamin,Arthur,Science,Mathematics,N,,,,,,2011,,,
It's Not What You Think,Bethke,Jefferson,Religion,Protestantism,N,,,,,,2017,,,
How God Became Jesus,Bird,Michael,Religion,Atheist Apologetics,N,,,,$16.99 ,$16.99 ,2016,,Atlanta,
The New One-Minute Manager,Blanchard,Ken,Business,Management,Y,17-Jan,17-Jan,1,$23.99 ,$23.99 ,2017,,Atlanta,
2666,Bolaño,Roberto,Fiction,Chilean,N,,,,$19.95 ,$19.95 ,2011,,Atlanta,
What Color is Your Parachute,Bolles,Richard N,Business,Career Search,Y,16-Jan,16-Jan,1,$19.99 ,$19.99 ,2016,,Los Angeles,
Ethics ,Bonhoeffer,Dietrich,Religion,Living,N,,,,$19.99 ,$16.99 ,2017,,Spokane,
Discipleship,Bonhoeffer,Dietrich,Religion,Living,N,,,,$20.00 ,$20.00 ,2016,,Amazon,
The Cost of Discipleship,Bonhoeffer,Dietrich,Religion,Protestantism,N,,,,,,,,,
Jesus,Borg,Marcus J.,History,Catholicism,N,,,,,,,,,
Borges Esencial,Borges,Jorge Luis,Mixed Fiction & Non-fiction,Argentina,N,,,,$15.00 ,$15.00 ,2017,,Atlanta,
Execution: The Discipline of Getting Things Done,Bossidy,Larry,Business,Entrepreneurship,Y,18-Jun,18-Jun,,$28.00 ,$14.12 ,2018,2018,,
The Spirit and Forms of Protestantism,Bouyer,Louis,Religion,Catholic Apologetics,N,,,,$20.00 ,$20.00 ,2016,,Atlanta,
Righteous Indignation,Breitbart,Andrew,Politics,American,Y,,Apr-18,1,17.99,11.5,2018,2018,Online,Amazon
Jane Eyre,Bronte,Charlote,Fiction,British,N,,,,$8.00 ,$8.00 ,2015,,,
Angels & Demons,Brown,Dan,Fiction,American,Y,16-Jan,16-Jan,1,$16.00 ,$16.00 ,2016,,Atlanta,
O Codigo Da Vinci,Brown,Dan,Fiction,American,N,,,,$16.00 ,$0.00 ,2016,,Natal,
The Da Vinci Code,Brown,Dan,Fiction,American,Y,16-Jan,16-Jan,1,$9.99 ,$9.99 ,2016,2016,Atlanta,
The Lost Symbol,Brown,Dan,Fiction,American,Y,16-Jan,16-Jan,1,$16.00 ,$16.00 ,2016,,Atlanta,
Inferno,Brown,Dan,Fiction,American,Y,16-Jan,17-Dec,1,$16.00 ,$16.00 ,2016,,Atlanta,
A Short History of Nearly Everything,Bryson,Bill,History,World,N,,,,$16.99 ,$6.98 ,2017,,San Francisco,Green Apple Books
The Relic Master,Buckley,Christopher,Fiction,American,N,,,,,,,,,
The Pilgrim's Progres,Bunyan ,John,Fiction,British,Y,15-Jan,15-Jan,1,$11.00 ,$11.00 ,2015,,Atlanta,
The Go-Giver Leader,Burg,Bob,Business,Management,N,15-Jan,,,$25.00 ,$25.00 ,2015,,Atlanta,
The Go-Giver,Burg,Bob,Business,Management,Y,16-Jan,16-Jan,1,$24.95 ,$24.95 ,2016,,Atlanta,
The Charisma Myth,Cabane,Olivia Fox,Business,Personality,N,,,,$16.00 ,$13.36 ,2015,,Amazon,
Quiet,Cain ,Susan,Business,Personality,N,,,,$16.00 ,$16.00 ,2015,,Alpharetta,
Off-Centered Leadership,Calagione,Sam,Business,Entrepreneurship,N,,,,$25.00 ,$25.00 ,2016,,Los Angeles,
Historia da Riqueza no Brasil,Caldeira,Jorge,History,Brazilian,N,,,,,,,,,
Institutes of the Christian Religion,Calvin,John,Religion,Protestantism,N,,,,$24.95 ,$24.95 ,2012,,Kennesaw,
The Myth of Sisyphus,Camus,Albert,Philosophy,French,N,,,,$15.00 ,$15.00 ,2016,,Atlanta,
The Stranger,Camus,Albert,Fiction,French,Y,14-Jan,14-Jan,1,$12.95 ,$12.95 ,2014,,Atlanta,
Modern Philosophy in 133 Arguments,Capatano,Peter,Philosophy,American,N,,,,$39.95 ,$39.95 ,2017,,Atlanta,
The Life: The Orthodox Doctrine of Salvation,Carlton,Clark,Religion,Orthodoxy,N,,,,$15.00 ,$15.00 ,2017,,Atlanta,
"How to Develop Self-Confidence & Influence 
People by Public Speaking",Carnegie,Dale,Self-Help,Public Speaking,N,,,,$7.99 ,$7.99 ,2012,,Atlanta,
How to Win Friends and Influence People,Carnegie,Dale,Self-Help,Personality,Y,10-Jan,10-Jan,2,$22.00 ,$22.00 ,2010,,Atlanta,
"Alice's Adventure in Wonderland and Through 
the Looking Glass",Carroll,Lewis,Fiction,British,Y,,,,$5.95 ,$5.95 ,,,,
The Vorrh,Catling,B,Fiction,British,N,,,,$15.95 ,$15.95 ,2015,,Atlanta,
La Colmena,Cela,Camilo Jose,Fiction,Spanish,N,,,,$15.00 ,$15.00 ,2017,,Atlanta,
The Invisible Gorilla,Chabris,Christopher,Science,Social Science,N,,,,$15.00 ,$11.45 ,2017,,San Diego,
Multiply,Chan,Francis,Religion,Protestantism,N,15-Jan,,,$14.99 ,$14.99 ,2015,,Atlanta,
To Live is Christ to Die is Gain,Chandler ,Matt,Religion,Protestantism,Y,15-Jan,15-Jan,1,$17.99 ,$17.99 ,2015,,Atlanta,
The Rape of Nan King,Chang,Iris,History,WWII,N,,,,,,,,,
Everybody Matters,Chapman,Bob,Business,Management,N,,,,$27.95 ,$27.95 ,2015,,Alpharetta,
Case Interview Secrets,Cheng,Victor,Business,Study Aid,N,,,,$34.95 ,$25.05 ,2017,,Amazon,
St. Francis of Assisi,Chesterton,G.K.,History,Biography,N,17-Nov,17-Dec,,$14.00 ,$14.00 ,2017,,Atlanta,
Orthodoxy,Chesterton,G.K.,Religion,Catholic Apologetics,N,,,,$11.00 ,$11.00 ,2017,,Atlanta,
The Everlasting Man,Chesterton,G.K.,Religion,Catholicic Apologetics,N,,,,$15.00 ,$15.00 ,2016,,Atlanta,
